CODIGO_E4E;CODIGO_EC;DESC;CONTRATISTA;UNIDAD;DISPERSION;GM
NF0018;AHO110;T0 - INSTALACIÓN DE POSTE  DE MT Y ESTRUCTURA;JA10136439;Unidad;T0;LELE0501
NF0019;AHO111;T0 - INSTALACIÓN DE POSTE  DE BT Y ESTRUCTURA;JA10136439;Unidad;T0;LELE0501
NF0020;AHO112;T0 - INSTALACIÓN DE POSTE  DE MT CON CONCRETO;JA10136439;Unidad;T0;LELE0501
NF0021;AHO113;T0 - INSTALACIÓN DE POSTE  DE BT  CON CONCRETO;JA10136439;Unidad;T0;LELE0501
NF0022;AHO114;T0 - EXCAVACIÓN CON EXPLOSIVOS;JA10136439;Unidad;T0;LELE0501
NF0023;AHO115;T0 - CONSTRUCCIÓN DE MUROS O CIMENTACIONES EN HORMIGÓN ARMADO O NO;JA10136439;m2;T0;LELE0501
NF0024;AHO117;T0 - DEMOLICIÓN O RECUPERACIÓN DE BASE DEL POSTE;JA10136439;Unidad;T0;LELE0501
NF0025;AHO118;T0 - REACONDICIONAR, ALINEAR, APLOMAR O VERTICALIZAR POSTE MT O BT;JA10136439;Unidad;T0;LELE0501
NF0026;AHO119;T0 - INSTALACIÓN/ DE DISPOSITIVO ANTIESCALO POR  NO EXISTENCIA EN APOYO ;JA10136439;Unidad;T0;LELE0501
NF0027;AHO120;T0 - SUMINISTRO E INSTALACIÓN DE BARRERAS CAMINERAS;JA10136439;m;T0;LELE0501
NF0028;AHO121;T0 - INSTALACIÓN DE CRUCETA SIMPLE O DOBLE PARA CONDUCTOR DESNUDO EN POSTE EXISTENTE;JA10136439;Unidad;T0;LELE0501
NF0029;AHO122;T0 - INSTALACIÓN DE SOPORTE SIMPLE O DOBLE PARA CONDUCTOR AISLADO EN POSTE EXISTENTE;JA10136439;Unidad;T0;LELE0501
NF0030;AHO123;T0 - INSTALACIÓN ARMAZÓN SECUNDARIA (SIMPLE O DOBLE);JA10136439;Unidad;T0;LELE0501
NF0031;AHO124;T0 - RETIRO DE CRUCETA SIMPLE O DOBLE EN DISPOSICIÓN DE PASO (INCLUSO RED COMPACTA);JA10136439;Unidad;T0;LELE0501
NF0032;AHO125;T0 - RETIRO DE CRUCETA SIMPLE O DOBLE EN DISPOSICIÓN DE REMATE O DERIVACIÓN;JA10136439;Unidad;T0;LELE0501
NF0033;AHO126;T0 - RETIRO ARMAZÓN SECUNDARIA (SIMPLE O DOBLE);JA10136439;Unidad;T0;LELE0501
NF0034;AHO127;T0 - INSTALACIÓN  DE TIRANTE (VIENTO, ANCLA);JA10136439;Unidad;T0;LELE0501
NF0035;AHO128;T0 - MANTENIMIENTO O RETIRO DE TIRANTE;JA10136439;Unidad;T0;LELE0501
NF0036;AHO130;T0 - PINTADO/ENGRASADO DE POSTE;JA10136439;Evento;T0;LELE0501
NF0037;AHO132;T0 - TRASLADO MANUAL DE POSTES (NO DE CONCRETO) Y HERRAJERIA EN LUGAR INACCESIBLE PARA VEHÍCULO;JA10136439;m;T0;LELE0501
NF0038;AHO133;T0 - ADICIONAL EXCAVACION EN ROCA;JA10136439;Unidad;T0;LELE0501
NF0039;AHO134;T0 - SUMINISTRO EN INSTALACIÓN DE  GUARDAVÍAS (BARRERAS DE CONTENCIÓN) DE 1,2 M DE ALTURA, GALVANIZADOS EN CALIENTE.;JA10136439;m;T0;LELE0501
NF0040;AHO135;T0 - INSTALACIÓN DE POSTE MT COLOCADO EN HOYO O CIMENTACIÓN PREEXISTENTE;JA10136439;Unidad;T0;LELE0501
NF0041;AHO136;T0 - INSTALACIÓN DE POSTE BT COLOCADO EN HOYO O CIMENTACIÓN PREEXISTENTE;JA10136439;Unidad;T0;LELE0501
NF0042;AHO137;T0 - RETIRO DE POSTE  DE MT ;JA10136439;Unidad;T0;LELE0501
NF0043;AHO138;T0 - RETIRO DE POSTE  DE BT;JA10136439;Unidad;T0;LELE0501
NF0044;AHO140;T0 - INSTALACIÓN DE POSTE  DE MT CON CONCRETO mayor a 14 metros;JA10136439;Unidad;T0;LELE0501
NF0045;AHO201;T0 - INSTALAR CONDUCTORES DESDE 10 MM2 A 50 MM2 COBRE O SU EQUIVALENTE EN ALUMINIO.;JA10136439;m de red;T0;LELE0501
NF0046;AHO202;"T0 - INSTALAR RED CON CONDUCTORES DESDE 70 MM2 A 120 MM2 COBRE O SU EQUIVALENTE EN ALUMINIO.

";JA10136439;m de red;T0;LELE0501
NF0047;AHO203;"T0 - INSTALAR RED CON CONDUCTORES SOBRE 120 MM2 COBRE O SU EQUIVALENTE EN ALUMINIO.
";JA10136439;m de red;T0;LELE0501
NF0048;AHO204;T0 - INSTALAR RED COMPACTA  (SPACE CAB) MT;JA10136439;m de red;T0;LELE0501
NF0049;AHO205;T0 - INSTALACIÓN DE RED TRENZADA EN MEDIA TENSIÓN;JA10136439;m de red;T0;LELE0501
NF0050;AHO207;T0 - EXTENCIÓN PARA CLIENTE O ALUMBRADO PUBLICO EN BT (SECCION <=16MM2);JA10136439;m de red;T0;LELE0501
NF0051;AHO208;T0 - RETIRAR CONDUCTOR DESDE 16 MM2 A 120 MM2 COBRE O SU EQUIVALENTE EN ALUMINIO.;JA10136439;m;T0;LELE0501
NF0052;AHO210;T0 - RETIRAR CONDUCTOR O CABLE TRENZADO SOBRE 120 MM2 COBRE O SU EQUIVALENTE EN ALUMINIO ;JA10136439;m;T0;LELE0501
NF0053;AHO211;T0 - RETIRO DE CONDUCTOR AÉREO BT DESNUDO O TRENZADO O CONDUCTOR AISLADO CUALQUIER CAPACIDAD;JA10136439;m;T0;LELE0501
NF0054;AHO212;T0 - TEMPLAR / TENSIONAR  LOS CONDUCTORES DE CUALQUIER TIPO Y DIMENSIÓN.;JA10136439;Vano;T0;LELE0501
NF0055;AHO213;T0 - INSTALACIÓN/CAMBIO DE PROTECCIÓN O MANTAS TERMOCONTRAIBLES EN RED AÉREA;JA10136439;m;T0;LELE0501
NF0056;AHO214;T0 - INSTALACIÓN, SUSTITUCIÓN O RETIRO DE UNA UNION, ARRANQUE DERIVACIÓN O EMPALME EN MT (CABLES);JA10136439;Conjunto;T0;LELE0501
NF0057;AHO215;T0 - INSTALACIÓN, SUSTITUCIÓN O RETIRO DE UNA UNION ARRANQUE DERIVACIÓN O EMPALME EN BT (CABLES);JA10136439;Conjunto;T0;LELE0501
NF0058;AHO216;T0 - INSTALACIÓN DE UN TERMINAL EN CABLES EN BT;JA10136439;Unidad;T0;LELE0501
NF0059;AHO217;T0 - INSTALACIÓN DE UN SECCIONALIZADOR O RECONECTADOR (SF6, OLEO, VACIO) SIN CAJA DE CONTROL;JA10136439;Unidad;T0;LELE0501
NF0060;AHO218;T0 - INSTALACIÓN DE UN SECCIONADOR AEREO (UNIPOLAR) (CUCHILLAS, FUSIBLES, LLAVES FACA);JA10136439;Unidad;T0;LELE0501
NF0061;AHO219;T0 - INSTALACIÓN DE SISTEMA DE CONTROL O TELECONTROL PARA SECCIONALIZADORES;JA10136439;Unidad;T0;LELE0501
NF0062;AHO220;T0 - RETIRADA DE UN SECCIONALIZADOR O RECONECTADOR (SF6, OLEO, VACIO);JA10136439;Unidad;T0;LELE0501
NF0063;AHO221;T0 - RETIRADA DE UN SECCIONADOR AEREO (CUCHILLAS, FUSIBLES, LLAVES FACA);JA10136439;Unidad;T0;LELE0501
NF0064;AHO222;T0 - INSTALACIÓN  DE DESCARGADOR DE TENSIÓN;JA10136439;Unidad;T0;LELE0501
NF0065;AHO223;T0 - RETIRADA DE DESCARGADOR DE TENSIÓN;JA10136439;Unidad;T0;LELE0501
NF0066;AHO224;T0 - INSTALACIÓN O RETIRADA DE DETECTORES DE FALLA;JA10136439;Conjunto;T0;LELE0501
NF0067;AHO225;T0 - REPARACIONES DE FALLAS EN CAJA DE DISTRIBUCIÓN AÉREA.;JA10136439;Unidad;T0;LELE0501
NF0068;AHO226;T0 - INSTALACIÓN, SUSTITUCIÓN  O RETIRO CAJA DE PROTECCIÓN O DERIVACIÓN CON ESCALA;JA10136439;Unidad;T0;LELE0501
NF0069;AHO227;T0 - INSTALACIÓN, SUSTITUCIÓN O RETIRO DE CAJA DE DISTRIBUCIÓN CON BRAZO HIDRAÚLICO;JA10136439;Unidad;T0;LELE0501
NF0070;AHO228;T0 - INSPECCIÓN TERMOGRAFICA EN LÍNEAS DE MEDIA Y BAJA TENSIÓN SIN APORTE DE EQUIPO ;JA10136439;Estructura;T0;LELE0501
NF0071;AHO229;T0 - INSPECCIÓN TERMOGRAFICA EN LÍNEAS DE MEDIA Y BAJA TENSIÓN CON APORTE DE EQUIPO ;JA10136439;Estructura;T0;LELE0501
NF0072;AHO230;T0 - ULTRASONIDO CON APORTE DE EQUIPO;JA10136439;Unidad;T0;LELE0501
NF0073;AHO231;T0 - INSPECCIÓN VISUAL LÍNEA DE BAJA TENSIÓN;JA10136439;km;T0;LELE0501
NF0074;AHO232;T0 - INSPECCIÓN VISUAL LÍNEA DE MEDIA TENSIÓN;JA10136439;km;T0;LELE0501
NF0075;AHO233;T0 - INSPECCIÓN DE EQUIPOS AEREOS;JA10136439;Unidad;T0;LELE0501
NF0076;AHO234;T0 - MANTENIMIENTO MENOR EN BT EN AÉREO;JA10136439;Unidad;T0;LELE0501
NF0077;AHO235;T0 - MANTENIMIENTO MENOR EN MT AÉREO;JA10136439;Unidad;T0;LELE0501
NF0078;AHO238;T0 - TRABAJOS MENORES EN APOYOS;JA10136439;Unidad;T0;LELE0501
NF0079;AHO239;T0 - INSTALACIÓN O SUSTITUCIÓN DE AISLADORES DE CUALQUIER TIPO EN LÍNEA AÉREA O SUB ESTACIÓN;JA10136439;Conjunto;T0;LELE0501
NF0080;AHO240;T0 - RETIRO DE AISLADORES ;JA10136439;Unidad;T0;LELE0501
NF0081;AHO241;T0 - INSTALACIÓN SUSTITUCIÓN O RETIRO DE UN TERMINAL BIMETALICO EN BT;JA10136439;Unidad;T0;LELE0501
NF0082;AHO242;T0 - TRABAJOS MENORES ELEMENTOS DE PROTECCIÓN;JA10136439;Unidad;T0;LELE0501
NF0083;AHO243;T0 - INSTALACIÓN DE RED TRENZADA EN BAJA TENSIÓN;JA10136439;m de red;T0;LELE0501
NF0084;AHO244;T0 - RETIRAR RED COMPACTA  (SPACE CAB) MT;JA10136439;m de red;T0;LELE0501
NF0085;AHO255;T0 - INSPECCIÓN VISUAL ESTRUCTURA MT/BT;JA10136439;Unidad;T0;LELE0501
NF0086;AHO256;T0 - RETIRO DE RED TRENZADA EN MEDIA TENSIÓN;JA10136439;m de red;T0;LELE0501
NF0087;AHO254;T0 - MANTENIMIENTO MAYOR - ESTRUCTURA AEREA;JA10136439;Unidad;T0;LELE0501
NF0088;AHO304;T0 - MANTENIMIENTO TELECONTROL Y TELEMEDICIÓN ;JA10136439;Unidad;T0;LELE0501
NF0089;AHO322;T0 - INSTALACIÓN O SUSTITUCIÓN DE TABLERO DE BT EN POSTE;JA10136439;Unidad;T0;LELE0501
NF0090;AHO327;T0 - RETIRO DE SISTEMA DE CONTROL O TELECONTROL DE SECCIONALIZADORES;JA10136439;Unidad;T0;LELE0501
NF0091;AHO333;T0 - INSPECCIÓN DE SUBESTACIONES AÉREAS EN POSTE;JA10136439;Unidad;T0;LELE0501
NF0092;AHO336;T0 - TRASLADO MANUAL DE TRANSFOMADOR O EQUIPO MAYOR EN LUGAR INACCESIBLE PARA VEHÍCULO;JA10136439;m;T0;LELE0501
NF0093;AHO337;T0 - INSTALACIÓN PLACA O MARCAS DE LADOS PARA EQUIPOS O POSTES;JA10136439;Unidad;T0;LELE0501
NF0094;ACO301;T0 - INSTALACIÓN O REPOSICIÓN  DE UN FUSIBLES BT;JA10136439;Unidad;T0;LELE0501
NF0095;ACO302;T0 - INSTALACIÓN O REPOSICIÓN DE UN FUSIBLES MT;JA10136439;Unidad;T0;LELE0501
NF0096;AHO340;T0 - REPOSICIÓN BASE PORTAFUSIBLES BT EN AÉREO;JA10136439;Unidad;T0;LELE0501
NF0097;AHO341;T0 - REPOSICIÓN BASE PORTAFUSIBLES MT EN AÉREO;JA10136439;Unidad;T0;LELE0501
NF0098;ACO402;T0 - COLOCACIÓN DE FLANCHES DE 10CM.;JA10136439;m;T0;LELE0501
NF0099;ACO403;T0 - LEVANTAMIENTO CATASTRAL DE LA RED DE TELECOMUNICACIONES AÉREA (PARABÓLICAS, TELEFONÍA VOZ Y DATOS) COMPARTIDA CON INFRAESTRUCTURA DE CODENSA. S.A.E.S.P. POR POSTE;JA10136439;Estructura;T0;LELE0501
NF0100;ACO404;T0 - VISITA DE VERIFICACIÓN DE INSTALACIÓN DE REDES DE TELECOMUNICACIONES;JA10136439;Unidad;T0;LELE0501
NF0101;ACO405;T0 - DIAGNÓSTICO ATENCIÓN DOMICILIARIA;JA10136439;Unidad;T0;LELE0501
NF0102;ACO604;T0 - INSTALACIÓN DE SISTEMA DE TELEGESTIÓN Y ALARMAS EN CELDA EXISTENTE;JA10136439;Unidad;T0;LELE0501
NF0103;AHO438;T0 - PAGO ADICIONAL POR TRABAJOS RELIZADOS EN HORARIO NOCTURNO O EN DIAS FESTIVOS;JA10136439;Puntos;T0;LELE0501
NF0104;AHO618;T0 - INSTALACIÓN MEDICIÓN PROVISIONAL;JA10136439;Unidad;T0;LELE0501
NF0105;AHO619;T0 - RETIRADA MEDICIÓN PROVISIONAL;JA10136439;Unidad;T0;LELE0501
NF0106;AHO620;T0 - INSTALACIÓN O RETIRO DE MEDIDOR PARA BALANCE DE CARGAS;JA10136439;Unidad;T0;LELE0501
NF0107;AHO621;T0 - DIAGNÓSTICO CALIDAD DEL SERVICIO;JA10136439;Unidad;T0;LELE0501
NF0108;AHO717;T0 - INSPECCION PREVIA DE DESCARGOS  REDES AÉREAS (ZONAS DE DESCONEXIÓN PROGRAMADA) ;JA10136439;Unidad;T0;LELE0501
NF0109;AHO720;T0 - ACTUALIZACIÓN CARTOGRAFICA DE LA RED.;JA10136439;Unidad;T0;LELE0501
NF0110;AHO721;T0 - AVISAJE SIN ACUSE;JA10136439;Unidad;T0;LELE0501
NF0111;AHO722;T0 - AVISAJE CON ACUSE;JA10136439;Unidad;T0;LELE0501
NF0112;AHO730;T0 - OPERACIÓN EN EQUIPOS DE DISTRIBUCIÓN AÉREA MT;JA10136439;Conjunto;T0;LELE0501
NF0113;AHO734;T0 - CORTE O REPOSICIÓN DE SERVICIO EN MT ;JA10136439;Unidad;T0;LELE0501
NF0114;AHO131;T0 - HIDROLAVADO DE ESTRUCTURAS SIN EQUIPO EN LÍNEAS AÉREAS MT-BT;JA10136439;Estructura;T0;LELE0600
NF0115;AHO737;T0 - RETIRO DE EQUIPO DE MEDIDA AEREO PARA EMPALME MT (LLEE);JA10136439;Unidad;T0;LELE0600
NF0116;AHO804;T0 - INSTALACIÓN DE POSTE  (DISPOSICION DE PASO) MT DE 10 A 15 METROS C/LLEE ;JA10136439;Unidad;T0;LELE0600
NF0117;AHO805;T0 - RETIRO DE POSTE  (DISPOSICION DE PASO) MT DE 10 A 15 METROS C/LLEE ;JA10136439;Unidad;T0;LELE0600
NF0118;AHO806;T0 - INSTALACIÓN DE POSTE  DE REMATE MT DE 10 A 15 METROS O ESTRUCTURA DE REMATE C/LLEE;JA10136439;Unidad;T0;LELE0600
NF0119;AHO807;T0 - RETIRO DE POSTE  DE REMATE MT DE 10 A 15 METROS O ESTRUCTURA DE REMATE C/LLEE;JA10136439;Unidad;T0;LELE0600
NF0120;AHO808;T0 - CAMBIO DE POSTE MT (EN DISPOSICIÓN DE PASO   C/LLEE;JA10136439;Unidad;T0;LELE0600
NF0121;AHO809;T0 - CAMBIO DE POSTE MT C/LLEE (EN REMATE O RETENCIÓN);JA10136439;Unidad;T0;LELE0600
NF0122;AHO810;T0 - MANTENIMIENTO O CAMBIO DE ELEMENTOS DEL TIRANTE (VIENTO) MT DAÑADOS C/LLEE;JA10136439;Unidad;T0;LELE0600
NF0123;AHO811;T0 - NIVELAR O APLOMAR POSTE MT C/LLEE;JA10136439;Unidad;T0;LELE0600
NF0124;AHO812;T0 - INSTALACIÓN DE CRUCETA SIMPLE  O DOBLE EN DISPOSICIÓN DE PASO  C/LLEE;JA10136439;Unidad;T0;LELE0600
NF0125;AHO813;T0 - RETIRO DE CRUCETA SIMPLE  O DOBLE EN DISPOSICIÓN DE PASO  C/LLEE;JA10136439;Unidad;T0;LELE0600
NF0126;AHO814;T0 - INSTALACIÓN DE CRUCETA SIMPLE  O DOBLE EN DISPOSICIÓN DE REMATE  C/LLEE;JA10136439;Unidad;T0;LELE0600
NF0127;AHO815;T0 - INSTALACIÓN O SUSTITUCIÓN DE UN AISLADOR DE PINO O CADENA C/LLEE;JA10136439;Unidad;T0;LELE0600
NF0128;AHO816;T0 - RETIRO DE CRUCETA SIMPLE  O DOBLE EN DISPOSICIÓN DE REMATE  C/LLEE;JA10136439;Unidad;T0;LELE0600
NF0129;AHO817;T0 - TRABAJOS  MENORES LÍNEA ENERGIZADA;JA10136439;Conjunto;T0;LELE0600
NF0130;AHO818;T0 - RETEMPLADO DE LÍNEA (LEVANTAR O BAJAR REDES MT) C/ LLEE;JA10136439;Vano;T0;LELE0600
NF0131;AHO819;T0 - DESCONEXIÓN O CONEXIÓN DE PUENTES DE MEDIA TENSIÓN CON LÍNEAS VIVAS;JA10136439;Conjunto;T0;LELE0600
NF0132;AHO820;T0 - INSTALACIÓN, RETIRO O ARREGLO DE ESTRIBOS Y/O REAPRETE DE CONEXIONES C/LLEE;JA10136439;Unidad;T0;LELE0600
NF0133;AHO821;T0 - INSTALACIÓN DE CONECTORA AL/CU/AL-AL (TODAS LAS SECCIONES) CON LLEE;JA10136439;Unidad;T0;LELE0600
NF0134;AHO822;T0 - INSTALACIÓN O RETIRO DE CUBIERTAS DE PROTECCION EN VANOS DE RED.;JA10136439;Vano;T0;LELE0600
NF0135;AHO823;T0 - INSTALACIÓN DE EQUIPO DE  PROTECCIÓN MONOFÁSICO Y PARARRAYO  MT/BT C/LLEE;JA10136439;Unidad;T0;LELE0600
NF0136;AHO824;T0 - RETIRAR EQUIPO DE  PROTECCIÓN MONOFÁSICO O PARARRAYO  MT/BT C/LLEE;JA10136439;Unidad;T0;LELE0600
NF0137;AHO825;T0 - INSTALACIÓN O RETIRO DE INDICADORES DE FALLA PARA REDES DE MT AEREAS C/LLEE;JA10136439;Conjunto;T0;LELE0600
NF0138;AHO826;T0 - INSTALACIÓN O RETIRO DE BANCO DE CONDENSADORES, TP O TC C/LLEE;JA10136439;Conjunto;T0;LELE0600
NF0139;AHO827;T0 - TIEMPO DE ESPERA POR SOLICITUD DE LA DISTRIBUIDORA DE GRUPO TÉCNICO DE LLEE.;JA10136439;Unidad;T0;LELE0600
NF0140;AHO828;T0 - INSTALACIÓN DE UN SECCIONALIZADOR O RECONECTADOR (SF6, OLEO, VACIO) SIN CAJA DE CONTROL C/LLEE;JA10136439;Unidad;T0;LELE0600
NF0141;AHO829;T0 - RETIRADA DE UN SECCIONALIZADOR O RECONECTADOR (SF6, OLEO, VACIO) C/LLEE;JA10136439;Unidad;T0;LELE0600
NF0142;AHO840;T0 - PODA Y/O DESRAMIFICACIÓN DE ÁREA ARBORIZADA EN LÍNEA DE MEDIA TENSIÓN CON EQUIPOS DE LÍNEA ENERGIZADA;JA10136439;m2;T0;LELE0600
NF0143;AHO842;T0 - RETIRO DE ARBOL POR  VOLCAMIENTO SOBRE LAS REDES DE MEDIA Y/O BAJA TENSIÓN CON EQUIPOS DE LÍNEA ENERGIZADA;JA10136439;Unidad;T0;LELE0600
NF0144;AHO843;T0 - PAGO ADICIONAL POR TRABAJOS RELIZADOS EN HORARIO NOCTURNO O EN DIAS FESTIVOS;JA10136439;Puntos;T0;LELE0600
NF0145;AHO845;T0 - PODA Y/O DESRAMIFICACIÓN DE ÁRBOL AISLADO EN LÍNEA DE MEDIA TENSIÓN CON EQUIPOS DE LÍNEA ENERGIZADA;JA10136439;Unidad;T0;LELE0600
NF0146;AHO846;T0 - PODA Y/O DESRAMIFICACIÓN MASIVA DE ÁRBOLES  CON EQUIPOS DE LÍNEA ENERGIZADA;JA10136439;m2;T0;LELE0600
NF0147;AHO847;T0 - PODA Y/O DESRAMIFICACIÓN DE ÁRBOL AISLADO EN LÍNEA DE MEDIA TENSIÓN CON EQUIPOS DE LÍNEA ENERGIZADA SIN RETIRO DE RESIDUOS;JA10136439;Unidad;T0;LELE0600
NF0148;AHO848;T0 - PODA Y/O DESRAMIFICACIÓN MASIVA DE ÁRBOLES  CON EQUIPOS DE LÍNEA ENERGIZADA SIN RETIRO DE RESIDUOS;JA10136439;m2;T0;LELE0600
NF0149;SCO112;T0 - CONSTRUCCIÓN DE PLACA DE CONTRAPISO EN CONCRETO DE 2500 PSI;JA10136439;m2;T0;LELE0502
NF0150;SHO113;T0 - CANALIZ. TIPO A  EN  TERRIZO 1T (PROFUNDIDAD < 1M);JA10136439;m;T0;LELE0502
NF0151;SHO114;T0 - CANALIZ. TIPO A  EN VEREDA, ASFALTO O CEMENTO CON CONCRETO HASTA 15 CM 1T (PROFUNDIDAD < 1M);JA10136439;m;T0;LELE0502
NF0152;SHO115;T0 - CANALIZ. TIPO A  EN VEREDA, ASFALTO O CEMENTO CON CONCRETO MÁS DE  15 CM 1T (PROFUNDIDAD < 1M);JA10136439;m;T0;LELE0502
NF0153;SHO116;"T0 - CANALIZ. TIPO B  EN  TERRIZO 1T (PROFUNDIDAD  1M <> 1,5M)
";JA10136439;m;T0;LELE0502
NF0154;SHO117;"T0 - CANALIZ. TIPO B  EN VEREDA, ASFALTO O CEMENTO CON CONCRETO HASTA 15 CM 1T (PROFUNDIDAD  1M <> 1,5M)
";JA10136439;m;T0;LELE0502
NF0155;SHO118;"T0 - CANALIZ. TIPO B  EN VEREDA, ASFALTO O CEMENTO CON CONCRETO MÁS DE  15 CM 1T (PROFUNDIDAD 1M <> 1,5M)
";JA10136439;m;T0;LELE0502
NF0156;SHO124;T0 - SUPLEMENTO POR CIRCUITO INSTALADO EN VERTICAL (4 TUBOS);JA10136439;m;T0;LELE0502
NF0157;SHO125;T0 - ZANJA TIPO A PARA CABLE DIRECTAMENTE ENTERRADO EN GRAVA O TERRIZO (PROFUNDIDAD < 1M);JA10136439;m;T0;LELE0502
NF0158;SHO126;T0 - ZANJA TIPO A PARA CABLE DIRECTAMENTE ENTERRADO EN VEREDA CONCRETO O ASFALTO HASTA 15 CM   (PROFUNDIDAD < 1M);JA10136439;m;T0;LELE0502
NF0159;SHO127;T0 - ZANJA TIPO A PARA CABLE DIRECTAMENTE ENTERRADO EN ASFALTO O CONCRETO DE MAS DE 15 CM (PROFUNDIDAD < 1M);JA10136439;m;T0;LELE0502
NF0160;SHO128;T0 - ZANJA PARA CABLE DIRECTAMENTE ENTERRADO EN GRAVA O TERRIZO (PROFUNDIDAD > 1M);JA10136439;m;T0;LELE0502
NF0161;SHO129;T0 - ZANJA TIPO B PARA CABLE DIRECTAMENTE ENTERRADO EN VEREDA CONCRETO O ASFALTO HASTA 15 CM  (PROFUNDIDAD > 1M);JA10136439;m;T0;LELE0502
NF0162;SHO130;T0 - ZANJA TIPO B PARA CABLE DIRECTAMENTE ENTERRADO EN ASFALTO O CONCRETO DE MAS DE 15 CM (PROFUNDIDAD > 1M);JA10136439;m;T0;LELE0502
NF0163;SHO131;T0 - SUPLEMENTO POR INSTALACIÓN DE UN CIRCUITO O DUCTO VERTICAL EN ZANJA O CANALIZACIÓN A O B;JA10136439;m;T0;LELE0502
NF0164;SHO132;T0 - SUPLEMENTO POR INSTALACIÓN DE UN DUCTO HORIZONTAL EN CANALIZACIÓN A O B EN TERRIZO ;JA10136439;m;T0;LELE0502
NF0165;SHO133;"T0 - SUPLEMENTO POR INSTALACIÓN DE UN CIRCUITO O DUCTO HORIZONTAL EN ZANJA O CANALIZACIÓN A O B EN CONCRETO HASTA 15 CM
";JA10136439;m;T0;LELE0502
NF0166;SHO134;"T0 - SUPLEMENTO POR INSTALACIÓN DE UN DUCTO HORIZONTAL EN ZANJA O CANALIZACIÓN A O B EN CONCRETO MAS DE 15 CM
";JA10136439;m;T0;LELE0502
NF0167;SHO135;T0 - SUPLEMENTO POR RELLENO ESPECIAL DE ZANJA (HORMIGÓN/CONCRETO O GRAVA CEMENTO) (M3);JA10136439;m3;T0;LELE0502
NF0168;SHO136;T0 - SUPLEMENTO CANALIZACION PROFUNDIDAD >1,5;JA10136439;m3;T0;LELE0502
NF0169;SHO137;T0 - SUPLEMENTO ROTURA PAVIMENTO EXTRA CON CAPA DE CONCRETO HASTA 15 CM;JA10136439;m2;T0;LELE0502
NF0170;SHO138;T0 - SUPLEMENTO ROTURA PAVIMENTO EXTRA CON CAPA DE CONCRETO ENTRE 15 Y 40 CM;JA10136439;m2;T0;LELE0502
NF0171;SHO139;T0 - CONSTRUCCIÓN DE UN BANCO DE DUCTOS CON TECNOLOGÍA TIPO MICROTUNELERIA;JA10136439;m;T0;LELE0502
NF0172;SHO140;T0 - CIERRE ECOLÓGICO;JA10136439;m;T0;LELE0502
NF0173;SHO142;T0 - RECONSTRUCCIÓN O REPOSICIÓN DE BALDOSA NORMAL DE CEMENTO EN ANDEN O VEREDA;JA10136439;m2;T0;LELE0502
NF0174;SHO143;T0 - RECONSTRUCCIÓN O REPOSICIÓN DE PAVIMENTO HORMIGÓN 200 A 250 KG/CM2 Y ESPESOR DE 0,20 M PARA CALZADA;JA10136439;m2;T0;LELE0502
